Version;SupportBegin;SupportEnd
0.1.16;2024-12-26T09:29:01;2086-12-11T09:29:01
0.1.17;2024-12-29T00:59:17;2027-01-29T00:59:17
0.1.18;2025-05-25T00:00:00;2027-08-24T00:00:00
0.1.19;2025-05-26T00:00:00;2027-08-25T00:00:00
0.1.20;2025-06-22T00:00:00;2027-09-21T00:00:00
0.1.21;2025-06-22T00:00:00;2027-09-21T00:00:00
0.1.22;2025-06-24T00:00:00;2027-09-23T00:00:00
0.1.23;2025-06-26T00:00:00;2027-09-25T00:00:00
1.0.0;2026-01-01T00:00:00;2027-04-02T00:00:00
